id_merc;Date;Mov;Cliente/Proveedor;Cant;Category_Id;Brand;Ref;Conection;Color;Complements;Other;Cost;Sale;Subt_Cost;Mov2;Dia;Mes;Año
1;22-may;CMP;SmartPlus;5;Cables;Smart Plus;SMP-C1V;V8;Rojo;Caja;Datos;$4.500;$10.000;-$22.500;5;22;5;2022
2;22-may;CMP;SmartPlus;5;Cables;Smart Plus;SMP-C1T;TC;Rojo;Caja;Datos;$4.500;$10.000;-$22.500;5;22;5;2022
3;22-may;CMP;SmartPlus;5;Manos Libres;Samsung;Bolsa$3.500;$9.000;-$17.500;5;22;5;2022
4;22-may;CMP;SmartPlus;5;Manos Libres;Samsung;Bolsa$3.500;$9.000;-$17.500;5;22;5;2022
5;22-may;CMP;SmartPlus;5;Cargadores;Samsung;SM-S8;V8;Blanco;Caja;Alambrico;$6.500;$15.000;-$32.500;5;22;5;2022
6;22-may;CMP;SmartPlus;5;Cargadores;Samsung;Travel 25w;TC;Blanco;Caja;Carga Rapida;$9.500;$24.000;-$47.500;5;22;5;2022
7;22-may;CMP;SmartPlus;5;Cargadores;Huawei;HW-059200;V8;Blanco;Caja;Alambrico;$7.500;$15.000;-$37.500;5;22;5;2022
8;22-may;CMP;SmartPlus;2;Baterias;Samsung;SM-J7;Extraible;Negro;Caja;Extraible;$12.500;$24.000;-$25.000;2;22;5;2022
9;22-may;CMP;SmartPlus;5;Baterias;Nokia;Bl4C;Extraible;Negro;Bolsa;Extraible;$2.800;$7.000;-$14.000;5;22;5;2022
10;22-may;CMP;SmartPlus;1;Audifonos Bluethooth;Apple;i12VC;Bluethoot;VerdeClaro;Caja cbl;RDC2022-EH03-EH04-SF2021;$20.000;$35.000;-$20.000;1;22;5;2022
11;22-may;CMP;SmartPlus;1;Audifonos Bluethooth;Apple;i12B;Bluethoot;Blanco;Caja cbl;RDC2022-EH03-EH04-SF2021;$20.000;$35.000;-$20.000;1;22;5;2022
12;22-may;CMP;SmartPlus;1;Audifonos Bluethooth;Apple;i12N;Bluethoot;Negro;Caja cbl;RDC2022-EH03-EH04-SF2021;$20.000;$35.000;-$20.000;1;22;5;2022
13;22-may;CMP;SmartPlus;1;Audifonos Bluethooth;Apple;i12AC;Bluethoot;AzulClaro;Caja cbl;RDC2022-EH03-EH04-SF2021;$20.000;$35.000;-$20.000;1;22;5;2022
14;22-may;CMP;SmartPlus;1;Audifonos Bluethooth;Apple;i12G;Bluethoot;Gris;Caja cbl;RDC2022-EH03-EH04-SF2021;$20.000;$35.000;-$20.000;1;22;5;2022
15;22-may;CMP;SmartPlus;3;Convertidores;Apple;Ligthning-Jack;Ligthning-Jack;Blanco;Caja;Alambrico;$7.500;$15.000;-$22.500;3;22;5;2022
16;22-may;CMP;SmartPlus;2;Cargadores;Apple;M55 5w;Ligthning;Blanco;Caja;Alambrico;$8.000;$15.000;-$16.000;2;22;5;2022
17;22-may;CMP;Sebastian LC17;1;Teclados;Ramitech;RAM-TB6;Bluethoot;Blanco;Caja;Inalambrico;$38.000;$55.000;-$38.000;1;22;5;2022
18;22-may;CMP;Sebastian LC17;1;Teclados;Ramitech;TJ-808;USB;Negro;Combo Mouse;Alambrico;$38.000;$55.000;-$38.000;1;22;5;2022
19;22-may;CMP;Sebastian LC17;1;Teclados;Ramitech;RG-1017RB;USB;Negro;Caja;Alambrico;$17.000;$35.000;-$17.000;1;22;5;2022
20;22-may;CMP;Sebastian LC17;1;Teclados;Generico;TJ-818;USB;Negro;Caja;Inalambrico;$15.000;$29.000;-$15.000;1;22;5;2022
21;22-may;CMP;Sebastian LC17;1;Teclados;Generico;T13;USB;Negro;Combo Mouse;Alambrico;$24.000;$44.000;-$24.000;1;22;5;2022
22;22-may;CMP;Sebastian LC17;1;Audifonos Bluethooth;Apple;i12R;Bluethoot;Rojo;Caja cbl;ORMI21/22;$20.000;$35.000;-$20.000;1;22;5;2022
23;22-may;CMP;Sebastian LC17;1;Audifonos Bluethooth;Apple;i12AO;Bluethoot;AzulOscuro;Caja cbl;ORMI21/22;$20.000;$35.000;-$20.000;1;22;5;2022
24;22-may;CMP;Sebastian LC17;5;Cargadores;Belkin;CAR-301-1V;V8;Blanco;Caja cbl;Alambrico;$10.000;$20.000;-$50.000;5;22;5;2022
25;22-may;CMP;Sebastian LC17;5;Cargadores;Belkin;CAR-301-1T;TC;Blanco;Caja cbl;Alambrico;$10.000;$20.000;-$50.000;5;22;5;2022
26;22-may;CMP;Sebastian LC17;2;Tripodes;Generico;TRIPOD3110;Bluethoot;Negro;Caja cbl;Inalambrico;$20.000;$35.000;-$40.000;2;22;5;2022
27;22-may;CMP;Sebastian LC17;1;Balacas;OCZU;OZ-8809BT-R;Bluethoot;Rojo;Caja cbl;Inalambrico;$26.000;$39.000;-$26.000;1;22;5;2022
28;22-may;CMP;Sebastian LC17;1;Balacas;OCZU;OZ-8809BT-N;Bluethoot;Negro;Caja cbl;Inalambrico;$26.000;$39.000;-$26.000;1;22;5;2022
29;22-may;CMP;Sebastian LC17;1;Balacas;OCZU;OZ-868BT-A;Bluethoot;Azul;Caja cbl;Inalambrico Pantalla;$29.000;$44.000;-$29.000;1;22;5;2022
30;22-may;CMP;Sebastian LC17;1;Balacas;OCZU;OZ-868BT-R;Bluethoot;Rojo;Caja cbl;Inalambrico Pantalla;$29.000;$44.000;-$29.000;1;22;5;2022
